序号,动画名称,动画资源路径,精灵帧路径,空行
52,roudun_plist,cs/animaRes/skillAnimas/roudun.plist,cs/animaRes/skillAnimas/roudun_Res.plist,
53,shandian_plist,cs/animaRes/skillAnimas/shandian.plist,cs/animaRes/skillAnimas/shandian_Res.plist,
54,shengji_plist,cs/animaRes/skillAnimas/shengji.plist,cs/animaRes/skillAnimas/shengji_Res.plist,
55,shenjin_plist,cs/animaRes/skillAnimas/shenjin.plist,cs/animaRes/skillAnimas/shenjin_Res.plist,
56,suijing_plist,cs/animaRes/skillAnimas/suijing.plist,cs/animaRes/skillAnimas/suijing_Res.plist,
57,suishi_plist,cs/animaRes/skillAnimas/suishi.plist,cs/animaRes/skillAnimas/suishi_Res.plist,
58,tianbao_plist,cs/animaRes/skillAnimas/tianbao.plist,cs/animaRes/skillAnimas/tianbao_Res.plist,
59,wujian_plist,cs/animaRes/skillAnimas/wujian.plist,cs/animaRes/skillAnimas/wujian_Res.plist,
60,wuxing_plist,cs/animaRes/skillAnimas/wuxing.plist,cs/animaRes/skillAnimas/wuxing_Res.plist,
61,wuyun_plist,cs/animaRes/skillAnimas/wuyun.plist,cs/animaRes/skillAnimas/wuyun_Res.plist,
62,xiahuo_plist,cs/animaRes/skillAnimas/xiahuo.plist,cs/animaRes/skillAnimas/xiahuo_Res.plist,
63,xibao_plist,cs/animaRes/skillAnimas/xibao.plist,cs/animaRes/skillAnimas/xibao_Res.plist,
64,xinxin_plist,cs/animaRes/skillAnimas/xinxin.plist,cs/animaRes/skillAnimas/xinxin_Res.plist,
65,xixue_plist,cs/animaRes/skillAnimas/xixue.plist,cs/animaRes/skillAnimas/xixue_Res.plist,
66,xuanfeng_plist,cs/animaRes/skillAnimas/xuanfeng.plist,cs/animaRes/skillAnimas/xuanfeng_Res.plist,
67,xuanfengzi_plist,cs/animaRes/skillAnimas/xuanfengzi.plist,cs/animaRes/skillAnimas/xuanfengzi_Res.plist,
68,xuanwo_plist,cs/animaRes/skillAnimas/xuanwo.plist,cs/animaRes/skillAnimas/xuanwo_Res.plist,
69,xuanzhuan_plist,cs/animaRes/skillAnimas/xuanzhuan.plist,cs/animaRes/skillAnimas/xuanzhuan_Res.plist,
70,xuhua_plist,cs/animaRes/skillAnimas/xuhua.plist,cs/animaRes/skillAnimas/xuhua_Res.plist,
71,yanwu_plist,cs/animaRes/skillAnimas/yanwu.plist,cs/animaRes/skillAnimas/yanwu_Res.plist,
72,yijian_plist,cs/animaRes/skillAnimas/yijian.plist,cs/animaRes/skillAnimas/yijian_Res.plist,
73,yingji_plist,cs/animaRes/skillAnimas/yingji.plist,cs/animaRes/skillAnimas/yingji_Res.plist,
74,zhonji_plist,cs/animaRes/skillAnimas/zhonji.plist,cs/animaRes/skillAnimas/zhonji_Res.plist,
75,zibao_plist,cs/animaRes/skillAnimas/zibao.plist,cs/animaRes/skillAnimas/zibao_Res.plist,
76,zidian_plist,cs/animaRes/skillAnimas/zidian.plist,cs/animaRes/skillAnimas/zidian_Res.plist,
77,ziguanghui_plist,cs/animaRes/skillAnimas/ziguanghui.plist,cs/animaRes/skillAnimas/ziguanghui_Res.plist,
78,zixuanfeng_plist,cs/animaRes/skillAnimas/zixuanfeng.plist,cs/animaRes/skillAnimas/zixuanfeng_Res.plist,
79,ziyan_plist,cs/animaRes/skillAnimas/ziyan.plist,cs/animaRes/skillAnimas/ziyan_Res.plist,
80,ziyu_plist,cs/animaRes/skillAnimas/ziyu.plist,cs/animaRes/skillAnimas/ziyu_Res.plist,
81,ziyun_plist,cs/animaRes/skillAnimas/ziyun.plist,cs/animaRes/skillAnimas/ziyun_Res.plist,
82,zizhuwang_plist,cs/animaRes/skillAnimas/zizhuwang.plist,cs/animaRes/skillAnimas/zizhuwang_Res.plist,
