ID	名字	类型	品质	属性类型	属性值	随机属性概率1	随机属性概率2	随机属性概率3	随机属性概率4	随机属性概率5	随机属性概率6	随机属性概率7	随机属性概率8	空行								
47	정•용린도+4	1	44	1	514	0.3	0.4	0.2	0.1	0	0	0	0									
53	정•황금극+4	1	44	1	404	0.3	0.4	0.2	0.1	0	0	0	0									
113	정•은린갑옷+4	2	44	2	4424	0.3	0.4	0.2	0.1	0	0	0	0									
119	정•용린투구+4	3	44	3	340	0.3	0.4	0.2	0.1	0	0	0	0									
125	정•창월목걸이+4	4	44	4	522	0.3	0.4	0.2	0.1	0	0	0	0									
42	정•쌍고검+5	1	45	1	356	0.3	0.4	0.2	0.1	0	0	0	0									
48	정•용린도+5	1	45	1	580	0.3	0.4	0.2	0.1	0	0	0	0									
54	정•황금극+5	1	45	1	456	0.3	0.4	0.2	0.1	0	0	0	0									
114	정•은린갑옷+5	2	45	2	5060	0.3	0.4	0.2	0.1	0	0	0	0									
120	정•용린투구+5	3	45	3	384	0.3	0.4	0.2	0.1	0	0	0	0									
126	정•창월목걸이+5	4	45	4	590	0.3	0.4	0.2	0.1	0	0	0	0									
55	의천검	1	50	1	482	0	0.37	0.4	0.2	0.02	0.01	0	0									
61	고정도	1	50	1	786	0	0.37	0.4	0.2	0.02	0.01	0	0									
67	월아극	1	50	1	620	0	0.37	0.4	0.2	0.02	0.01	0	0									
127	현무갑옷	2	50	2	6588	0	0.37	0.4	0.2	0.02	0.01	0	0									
133	주작투구	3	50	3	514	0	0.37	0.4	0.2	0.02	0.01	0	0									
139	기린목걸이	4	50	4	812	0	0.37	0.4	0.2	0.02	0.01	0	0									
56	의천검+1	1	51	1	562	0	0.37	0.4	0.2	0.02	0.01	0	0									
62	고정도+1	1	51	1	914	0	0.37	0.4	0.2	0.02	0.01	0	0									
68	월아극+1	1	51	1	720	0	0.37	0.4	0.2	0.02	0.01	0	0									
128	현무갑옷+1	2	51	2	7660	0	0.37	0.4	0.2	0.02	0.01	0	0									
134	주작투구+1	3	51	3	598	0	0.37	0.4	0.2	0.02	0.01	0	0									
140	기린목걸이+1	4	51	4	944	0	0.37	0.4	0.2	0.02	0.01	0	0									
57	의천검+2	1	52	1	630	0	0.37	0.4	0.2	0.02	0.01	0	0									
63	고정도+2	1	52	1	1026	0	0.37	0.4	0.2	0.02	0.01	0	0									
69	월아극+2	1	52	1	808	0	0.37	0.4	0.2	0.02	0.01	0	0									
129	현무갑옷+2	2	52	2	8618	0	0.37	0.4	0.2	0.02	0.01	0	0									
135	주작투구+2	3	52	3	674	0	0.37	0.4	0.2	0.02	0.01	0	0									
141	기린목걸이+2	4	52	4	1062	0	0.37	0.4	0.2	0.02	0.01	0	0									
58	의천검+3	1	53	1	724	0	0.37	0.4	0.2	0.02	0.01	0	0									
64	고정도+3	1	53	1	1178	0	0.37	0.4	0.2	0.02	0.01	0	0									
70	월아극+3	1	53	1	928	0	0.37	0.4	0.2	0.02	0.01	0	0									
130	현무갑옷+3	2	53	2	9896	0	0.37	0.4	0.2	0.02	0.01	0	0									
136	주작투구+3	3	53	3	772	0	0.37	0.4	0.2	0.02	0.01	0	0									
142	기린목걸이+3	4	53	4	1220	0	0.37	0.4	0.2	0.02	0.01	0	0									
59	의천검+4	1	54	1	830	0	0.37	0.4	0.2	0.02	0.01	0	0									
65	고정도+4	1	54	1	1352	0	0.37	0.4	0.2	0.02	0.01	0	0									
71	월아극+4	1	54	1	1064	0	0.37	0.4	0.2	0.02	0.01	0	0									
131	현무갑옷+4	2	54	2	11332	0	0.37	0.4	0.2	0.02	0.01	0	0									
137	주작투구+4	3	54	3	884	0	0.37	0.4	0.2	0.02	0.01	0	0									
143	기린목걸이+4	4	54	4	1398	0	0.37	0.4	0.2	0.02	0.01	0	0									
60	의천검+5	1	55	1	934	0	0.37	0.4	0.2	0.02	0.01	0	0									
66	고정도+5	1	55	1	1522	0	0.37	0.4	0.2	0.02	0.01	0	0									
72	월아극+5	1	55	1	1198	0	0.37	0.4	0.2	0.02	0.01	0	0									
132	현무갑옷+5	2	55	2	12768	0	0.37	0.4	0.2	0.02	0.01	0	0									
138	주작투구+5	3	55	3	996	0	0.37	0.4	0.2	0.02	0.01	0	0									
144	기린목걸이+5	4	55	4	1574	0	0.37	0.4	0.2	0.02	0.01	0	0									
145	전신투구	3	60	3	1120	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
151	기린갑옷	2	60	2	14300	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
157	탐량마도	1	60	1	1690	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
163	자미목걸이	4	60	4	1850	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
146	전신투구+1	3	61	3	1260	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
152	기린갑옷+1	2	61	2	16150	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
158	탐량마도+1	1	61	1	1915	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
164	자미목걸이+1	4	61	4	2140	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
147	전신투구+2	3	62	3	1430	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
153	기린갑옷+2	2	62	2	18250	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
159	탐량마도+2	1	62	1	2160	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
165	자미목걸이+2	4	62	4	2490	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
148	전신투구+3	3	63	3	1610	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
154	기린갑옷+3	2	63	2	20630	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
160	탐량마도+3	1	63	1	2450	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
166	자미목걸이+3	4	63	4	2880	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
149	전신투구+4	3	64	3	1820	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
155	기린갑옷+4	2	64	2	23310	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
161	탐량마도+4	1	64	1	2760	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
167	자미목걸이+4	4	64	4	3340	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
150	전신투구+5	3	65	3	2060	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
156	기린갑옷+5	2	65	2	26340	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
162	탐량마도+5	1	65	1	3120	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
168	자미목걸이+5	4	65	4	3880	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
169	전신투구+6	3	66	3	2400	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
173	기린갑옷+6	2	66	2	30810	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
177	탐량마도+6	1	66	1	3650	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
181	자미목걸이+6	4	66	4	4540	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
170	전신투구+7	3	67	3	2800	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
174	기린갑옷+7	2	67	2	36040	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
178	탐량마도+7	1	67	1	4270	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
182	자미목걸이+7	4	67	4	5310	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
171	전신투구+8	3	68	3	3270	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
175	기린갑옷+8	2	68	2	42160	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
179	탐량마도+8	1	68	1	4990	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
183	자미목걸이+8	4	68	4	6210	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
172	전신투구+9	3	69	3	3820	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
176	기린갑옷+9	2	69	2	49320	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
180	탐량마도+9	1	69	1	5840	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
184	자미목걸이+9	4	69	4	7260	0	0	0.4	0.35	0.2	0.03	0.01	0.01									
