序号	品质	装备名	使用脚本	道具描述	icon图片ID	排序编号	合成所需碎片数量	所需钱币类型	所需钱币	所需物品id	所需物品类型	所需物品数量	空行
4020	2	书生之戒	0	合成书生之戒需要碎片10个	1	4	10	2	500	0	0	0	
4021	1	青铜戒指	0	合成青铜戒指需要碎片5个	1	5	5	2	200	0	0	0	
4022	1	护身符	0	合成护身符需要碎片5个	1	5	5	2	200	0	0	0	
4023	1	玉手镯	0	合成玉手镯需要碎片5个	1	5	5	2	200	0	0	0	
6001	1	攻速道具1	0	合成攻速道具1需要碎片5个	1	5	5	2	200	0	0	0	
6002	2	攻速道具2	0	合成攻速道具2需要碎片10个	1	4	10	2	500	0	0	0	
6003	3	攻速道具3	0	合成攻速道具3需要碎片15个	1	3	15	2	1000	0	0	0	
6004	4	攻速道具4	0	合成攻速道具4需要碎片30个	1	2	30	2	3000	0	0	0	
7001	1	反击道具1	0	合成反击道具1需要碎片5个	1	5	5	2	200	0	0	0	
7002	2	反击道具2	0	合成反击道具2需要碎片10个	1	4	10	2	500	0	0	0	
7003	3	反击道具3	0	合成反击道具3需要碎片15个	1	3	15	2	1000	0	0	0	
8001	1	集气道具1	0	合成集气道具1需要碎片5个	1	5	5	2	200	0	0	0	
8002	2	集气道具2	0	合成集气道具2需要碎片10个	1	4	10	2	500	0	0	0	
8003	3	集气道具3	0	合成集气道具3需要碎片15个	1	3	15	2	1000	0	0	0	
8004	4	集气道具4	0	合成集气道具4需要碎片30个	1	2	30	2	3000	0	0	0	
8005	5	集气道具5	0	合成集气道具5需要碎片50个	1	1	50	2	5000	0	0	0	
9001	1	命中道具1	0	合成命中道具1需要碎片5个	1	5	5	2	200	0	0	0	
9002	2	命中道具2	0	合成命中道具2需要碎片10个	1	4	10	2	500	0	0	0	
9003	3	命中道具3	0	合成命中道具3需要碎片15个	1	3	15	2	1000	0	0	0	
9004	4	命中道具4	0	合成命中道具4需要碎片30个	1	2	30	2	3000	0	0	0	
10001	1	气伤道具1	0	合成气伤道具1需要碎片5个	1	5	5	2	200	0	0	0	
10002	2	气伤道具2	0	合成气伤道具2需要碎片10个	1	4	10	2	500	0	0	0	
10003	3	气伤道具3	0	合成气伤道具3需要碎片15个	1	3	15	2	1000	0	0	0	
10004	4	气伤道具4	0	合成气伤道具4需要碎片30个	1	2	30	2	3000	0	0	0	
10005	5	气伤道具5	0	合成气伤道具5需要碎片50个	1	1	50	2	5000	0	0	0	
