ID	技能名字	技能描述	CD时间	技能片特效	技能片缩放比例	技能范围	技能基准点	阵营选择	半径	角度	高度	宽度	身后距离	值条件(条件)	百分比条件(条件)	几率(条件)	值(条件)	百分比(条件)	延迟时间	间隔时间	总时间	效果选择	作用属性	效果状态	百分比	基础伤害	基础秒数	技能伤害类型	延时类型	效果描述	技能声效	参数1	参数2	参数3	参数4	空行
202045	성•풍권뢰명	부채꼴범위 내에 있는 적군 전체에게 120%의 마법 피해를 입힙니다.	16	Ani_dian		2	1	2	500	100	0	0	50	0	0	1	0	0	1	0	0	6	0	0	1.2	0	0	2			sound/skilleffect/lei/lei1.wav					
203045	황•풍권뢰명	부채꼴범위 내에 있는 적군 전체에게 130%의 마법 피해를 입힙니다.	15	Ani_dian		2	1	2	500	100	0	0	50	0	0	1	0	0	1	0	0	6	0	0	1.3	0	0	2			sound/skilleffect/lei/lei1.wav					
100046	대회천	무장이 입는 피해가 40% 감소하며， 지속시간은 무력에 따라 달라집니다.	20	Ani_purpleLight		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	6	0.4		6	0	2		sound/skilleffect/dun/dunpai1.wav					
101046	귀•대회천	무장이 입는 피해가 45% 감소하며， 지속시간은 무력에 따라 달라집니다.	20	Ani_purpleLight		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	6	0.45		8	0	2		sound/skilleffect/dun/dunpai1.wav					
102046	성•대회천	무장이 입는 피해가 50% 감소하며， 지속시간은 무력에 따라 달라집니다.	20	Ani_purpleLight		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	6	0.5		10	0	2		sound/skilleffect/dun/dunpai1.wav					
103046	황•대회천	무장이 입는 피해가 55% 감소하며， 지속시간은 무력에 따라 달라집니다.	20	Ani_purpleLight		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	6	0.55		12	0	2		sound/skilleffect/dun/dunpai1.wav					
100047	파풍참	무장 주변에 있는 적군에게 80%의 공격 피해를 입힙니다.	18	Ani_daoguang		1	1	2	300	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	0.8		0	3			sound/skilleffect/dao/dao1.wav					
101047	귀•파풍참	무장 주변에 있는 적군에게 90%의 공격 피해를 입힙니다.	17	Ani_daoguang		1	1	2	300	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	0.9		0	3			sound/skilleffect/dao/dao1.wav					
102047	성•파풍참	무장 주변에 있는 적군에게 100%의 공격 피해를 입힙니다.	16	Ani_daoguang		1	1	2	300	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	1		0	3			sound/skilleffect/dao/dao1.wav					
103047	황•파풍참	무장 주변에 있는 적군에게 110%의 공격 피해를 입힙니다.	15	Ani_daoguang		1	1	2	300	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	1.1		0	3			sound/skilleffect/dao/dao1.wav					
100048	풍운변색	생명이 가장 많은 적군 무장에게 200%의 기본 피해를 입힙니다.	13	guangjian_plist		13	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	2		6	1			sound/skilleffect/dao/dao1.wav					
101048	귀•풍운변색	생명이 가장 많은 적군 무장에게 220%의 기본 피해를 입힙니다.	12	guangjian_plist		13	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	2.2		8	1			sound/skilleffect/dao/dao1.wav					
102048	성•풍운변색	생명이 가장 많은 적군 무장에게 240%의 기본 피해를 입힙니다.	11	guangjian_plist		13	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	2.4		8	1			sound/skilleffect/dao/dao1.wav					
103048	황•풍운변색	생명이 가장 많은 적군 무장에게 260%의 기본 피해를 입힙니다.	10	guangjian_plist		13	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	2.6		10	1			sound/skilleffect/dao/dao1.wav					
100049	치명일격	생명이 가장 적은 적군 무장에게 자신의 현재 생명의 35%만큼 피해를 입힙니다.	13	Ani_phoenix		23	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	2	0	0.35		0	7			sound/skilleffect/dao/dao1.wav					
101049	귀•치명일격	생명이 가장 적은 적군 무장에게 자신의 현재 생명의 40%만큼 피해를 입힙니다.	12	Ani_phoenix		23	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	2	0	0.4		0	7			sound/skilleffect/dao/dao1.wav					
102049	성•치명일격	생명이 가장 적은 적군 무장에게 자신의 현재 생명의 45%만큼 피해를 입힙니다.	11	Ani_phoenix		23	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	2	0	0.45		0	7			sound/skilleffect/dao/dao1.wav					
103049	황•치명일격	생명이 가장 적은 적군 무장에게 자신의 현재 생명의 50%만큼 피해를 입힙니다.	10	Ani_phoenix		23	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	2	0	0.5		0	7			sound/skilleffect/dao/dao1.wav					
100050	불굴의지	무장의 방어가 100% 증가하며， 지속시간은 무력에 따라 달라집니다.	20	Ani_purpleLight		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	5	0	1		6	0	2	7	sound/skilleffect/zhenyi/zengyi.wav					
101050	귀•불굴의지	무장의 방어가 110% 증가하며， 지속시간은 무력에 따라 달라집니다.	20	Ani_purpleLight		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	5	0	1.1		8	0	2	7	sound/skilleffect/zhenyi/zengyi.wav					
102050	성•불굴의지	무장의 방어가 120% 증가하며， 지속시간은 무력에 따라 달라집니다.	20	Ani_purpleLight		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	5	0	1.2		10	0	2	7	sound/skilleffect/zhenyi/zengyi.wav					
103050	황•불굴의지	무장의 방어가 130% 증가하며， 지속시간은 무력에 따라 달라집니다.	20	Ani_purpleLight		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	5	0	1.3		12	0	2	7	sound/skilleffect/zhenyi/zengyi.wav					
100051	군마난무	적 군웅 무장의 공격을 30% 하락시키며， 지속시간은 무력에 따라 달라집니다.	20	suijing_plist		39	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0.3		0	0	2	2	sound/skilleffect/jianyi/jianyi.wav					
101051	귀•군마난무	적 군웅 무장의 공격을 35% 하락시키며， 지속시간은 무력에 따라 달라집니다.	20	suijing_plist		39	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0.35		0	0	2	2	sound/skilleffect/jianyi/jianyi.wav					
102051	성•군마난무	적 군웅 무장의 공격을 40% 하락시키며， 지속시간은 무력에 따라 달라집니다.	20	suijing_plist		39	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0.4		0	0	2	2	sound/skilleffect/jianyi/jianyi.wav					
103051	황•군마난무	적 군웅 무장의 공격을 45% 하락시키며， 지속시간은 무력에 따라 달라집니다.	20	suijing_plist		39	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0.45		0	0	2	2	sound/skilleffect/jianyi/jianyi.wav					
100052	패도서혼	생명이 가장 많은 적군을 공격하며， 쌍방 무력의 차이가 클 수록 더 큰 피해를 입힙니다.	13	Ani_Lightning		13	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	0		6	4			sound/skilleffect/dao/dao1.wav					
101052	귀•패도서혼	생명이 가장 많은 적군을 공격하며， 쌍방 무력의 차이가 클 수록 더 큰 피해를 입힙니다.	12	Ani_Lightning		13	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	0		8	4			sound/skilleffect/dao/dao1.wav					
102052	성•패도서혼	생명이 가장 많은 적군을 공격하며， 쌍방 무력의 차이가 클 수록 더 큰 피해를 입힙니다.	11	Ani_Lightning		13	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	0		8	4			sound/skilleffect/dao/dao1.wav					
103052	황•패도서혼	생명이 가장 많은 적군을 공격하며， 쌍방 무력의 차이가 클 수록 더 큰 피해를 입힙니다.	10	Ani_Lightning		13	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	0		10	4			sound/skilleffect/dao/dao1.wav					
100053	패기참	무장 주변에 있는 적군에게 80%의 공격 피해를 입힙니다.	18	Ani_daoguang		1	1	2	300	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	0.8		0	3			sound/skilleffect/dao/dao1.wav					
101053	귀•패기참	무장 주변에 있는 적군에게 90%의 공격 피해를 입힙니다.	17	Ani_daoguang		1	1	2	300	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	0.9		0	3			sound/skilleffect/dao/dao1.wav					
102053	성•패기참	무장 주변에 있는 적군에게 100%의 공격 피해를 입힙니다.	16	Ani_daoguang		1	1	2	300	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	1		0	3			sound/skilleffect/dao/dao1.wav					
103053	황•패기참	무장 주변에 있는 적군에게 110%의 공격 피해를 입힙니다.	15	Ani_daoguang		1	1	2	300	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	1.1		0	3			sound/skilleffect/dao/dao1.wav					
100054	기혈마창	적에게 입힌 피해의 30%를 생명으로 흡수하며， 지속시간은 무력에 따라 달라집니다.	20	xixue_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	1	0.3		5	0	2		sound/skilleffect/zhenyi/zengyi.wav					
101054	귀•기혈마창	적에게 입힌 피해의 40%를 생명으로 흡수하며， 지속시간은 무력에 따라 달라집니다.	20	xixue_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	1	0.4		5	0	2		sound/skilleffect/zhenyi/zengyi.wav					
102054	성•기혈마창	적에게 입힌 피해의 50%를 생명으로 흡수하며， 지속시간은 무력에 따라 달라집니다.	20	xixue_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	1	0.5		5	0	2		sound/skilleffect/zhenyi/zengyi.wav					
103054	황•기혈마창	적에게 입힌 피해의 60%를 생명으로 흡수하며， 지속시간은 무력에 따라 달라집니다.	20	xixue_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	1	0.6		5	0	2		sound/skilleffect/zhenyi/zengyi.wav					
300055	풍설빙천	적군 전체가 동결되며， 3초 간 지속됩니다.	20	Ani_ice		4	2	2	0	0	0	0	0	0	0	1	0	0	1	180	180	5	0	0	0	0	4	0	1	3	sound/skilleffect/bing/bin1.wav					
301055	귀•풍설빙천	적군 전체가 동결되며， 4초 간 지속됩니다.	20	Ani_ice		4	2	2	0	0	0	0	0	0	0	1	0	0	1	240	240	5	0	0	0	0	5	0	1	3	sound/skilleffect/bing/bin1.wav					
302055	성•풍설빙천	적군 전체가 동결되며， 5초 간 지속됩니다.	20	Ani_ice		4	2	2	0	0	0	0	0	0	0	1	0	0	1	300	300	5	0	0	0	0	6	0	1	3	sound/skilleffect/bing/bin1.wav					
303055	황•풍설빙천	적군 전체가 동결되며， 6초 간 지속됩니다.	20	Ani_ice		4	2	2	0	0	0	0	0	0	0	1	0	0	1	360	360	5	0	0	0	0	7	0	1	3	sound/skilleffect/bing/bin1.wav					
100056	백마의종	무장의 마법이 60% 증가하며， 지속시간은 무력에 따라 달라집니다.	20	huangguang_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	4	0	0.6		0	0	2	1	sound/skilleffect/zhenyi/zengyi.wav					
101056	귀•백마의종	무장의 마법이 70% 증가하며， 지속시간은 무력에 따라 달라집니다.	20	huangguang_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	4	0	0.7		0	0	2	1	sound/skilleffect/zhenyi/zengyi.wav					
102056	성•백마의종	무장의 마법이 80% 증가하며， 지속시간은 무력에 따라 달라집니다.	20	huangguang_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	4	0	0.8		0	0	2	1	sound/skilleffect/zhenyi/zengyi.wav					
103056	황•백마의종	무장의 마법이 90% 증가하며， 지속시간은 무력에 따라 달라집니다.	20	huangguang_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	4	0	0.9		0	0	2	1	sound/skilleffect/zhenyi/zengyi.wav					
100057	천군만마	아군 전체 병사의 공격이 40% 증가하며， 지속시간은 무력에 따라 달라집니다.	20	wujian_plist		8	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0.4		0	0	2	1	sound/skilleffect/zhenyi/zengyi.wav					
101057	귀•천군만마	아군 전체 병사의 공격이 45% 증가하며， 지속시간은 무력에 따라 달라집니다.	20	wujian_plist		8	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0.45		0	0	2	1	sound/skilleffect/zhenyi/zengyi.wav					
102057	성•천군만마	아군 전체 병사의 공격이 50% 증가하며， 지속시간은 무력에 따라 달라집니다.	20	wujian_plist		8	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0.5		0	0	2	1	sound/skilleffect/zhenyi/zengyi.wav					
103057	황•천군만마	아군 전체 병사의 공격이 55% 증가하며， 지속시간은 무력에 따라 달라집니다.	20	wujian_plist		8	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0.55		0	0	2	1	sound/skilleffect/zhenyi/zengyi.wav					
300058	회광반조	아군 무장의 공격이 30% 증가하며， 지속시간은 지력에 따라 달라집니다.	20	huangguang_plist		40	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0.3	0	7	0	3	1	sound/skilleffect/jianyi/jianyi.wav					
301058	귀•회광반조	아군 무장의 공격이 35% 증가하며， 지속시간은 지력에 따라 달라집니다.	20	huangguang_plist		40	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0.35	0	9	0	3	1	sound/skilleffect/jianyi/jianyi.wav					
302058	성•회광반조	아군 무장의 공격이 40% 증가하며， 지속시간은 지력에 따라 달라집니다.	20	huangguang_plist		40	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0.4	0	11	0	3	1	sound/skilleffect/jianyi/jianyi.wav					
303058	황•회광반조	아군 무장의 공격이 45% 증가하며， 지속시간은 지력에 따라 달라집니다.	20	huangguang_plist		40	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0.45	0	13	0	3	1	sound/skilleffect/jianyi/jianyi.wav					
200059	오뢰굉정	부채꼴범위 내에 있는 적군 전체에게 100%의 마법 피해를 입힙니다.	18	Ani_dian		2	1	2	500	100	0	0	50	0	0	1	0	0	1	0	0	6	0	0	1	0	0	2			sound/skilleffect/lei/lei1.wav					
201059	귀•오뢰굉정	부채꼴범위 내에 있는 적군 전체에게 110%의 마법 피해를 입힙니다.	17	Ani_dian		2	1	2	500	100	0	0	50	0	0	1	0	0	1	0	0	6	0	0	1.1	0	0	2			sound/skilleffect/lei/lei1.wav					
202059	성•오뢰굉정	부채꼴범위 내에 있는 적군 전체에게 120%의 마법 피해를 입힙니다.	16	Ani_dian		2	1	2	500	100	0	0	50	0	0	1	0	0	1	0	0	6	0	0	1.2	0	0	2			sound/skilleffect/lei/lei1.wav					
203059	황•오뢰굉정	부채꼴범위 내에 있는 적군 전체에게 130%의 마법 피해를 입힙니다.	15	Ani_dian		2	1	2	500	100	0	0	50	0	0	1	0	0	1	0	0	6	0	0	1.3	0	0	2			sound/skilleffect/lei/lei1.wav					
100060	수라부체	공격이 40% 하락하지만 받는 피해를 60%로 감소 시킵니다. 지속시간은 무력에 따라 달라집니다.	20	Ani_purpleLight		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	6	0.6		0	0	2	2,8	sound/skilleffect/dun/dunpai1.wav					
101060	귀•수라부체	공격이 30% 하락하지만 받는 피해를 60%로 감소 시킵니다. 지속시간은 무력에 따라 달라집니다.	20	Ani_purpleLight		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	6	0.6		0	0	2	2,8	sound/skilleffect/dun/dunpai1.wav					
102060	성•수라부체	공격이 20% 하락하지만 받는 피해를 60%로 감소 시킵니다. 지속시간은 무력에 따라 달라집니다.	20	Ani_purpleLight		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	6	0.6		0	0	2	2,8	sound/skilleffect/dun/dunpai1.wav					
103060	황•수라부체	공격이 10% 하락하지만 받는 피해를 60%로 감소 시킵니다. 지속시간은 무력에 따라 달라집니다.	20	Ani_purpleLight		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	6	0.6		0	0	2	2,8	sound/skilleffect/dun/dunpai1.wav					
110060	수라부체	공격이 40% 하락하지만 받는 피해를 60%로 감소 시킵니다. 지속시간은 무력에 따라 달라집니다.	20			9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	-0.4		0	0	2	2,8	sound/skilleffect/dun/dunpai1.wav					
111060	귀•수라부체	공격이 30% 하락하지만 받는 피해를 60%로 감소 시킵니다. 지속시간은 무력에 따라 달라집니다.	20			9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	-0.3		0	0	2	2,8	sound/skilleffect/dun/dunpai1.wav					
112060	성•수라부체	공격이 20% 하락하지만 받는 피해를 60%로 감소 시킵니다. 지속시간은 무력에 따라 달라집니다.	20			9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	-0.2		0	0	2	2,8	sound/skilleffect/dun/dunpai1.wav					
113060	황•수라부체	공격이 10% 하락하지만 받는 피해를 60%로 감소 시킵니다. 지속시간은 무력에 따라 달라집니다.	20			9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	-0.1		0	0	2	2,8	sound/skilleffect/dun/dunpai1.wav					
100061	강력일격	무력이 가장 높은 적군 무장에게 180%의 기본 피해를 입힙니다.	13	guangjian_plist		19	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	1.8		6	1			sound/skilleffect/dao/dao1.wav					
101061	귀•강력일격	무력이 가장 높은 적군 무장에게 200%의 기본 피해를 입힙니다.	12	guangjian_plist		19	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	2		8	1			sound/skilleffect/dao/dao1.wav					
102061	성•강력일격	무력이 가장 높은 적군 무장에게 220%의 기본 피해를 입힙니다.	11	guangjian_plist		19	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	2.2		8	1			sound/skilleffect/dao/dao1.wav					
103061	황•강력일격	무력이 가장 높은 적군 무장에게 240%의 기본 피해를 입힙니다.	10	guangjian_plist		19	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	2.4		10	1			sound/skilleffect/dao/dao1.wav					
100062	주작연시	무장의 공격이 30% 증가하며， 지속시간은 무력에 따라 달라집니다.	20	huangguang_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0.3		6	0	2	1	sound/skilleffect/zhenyi/zengyi.wav					
101062	귀•주작연시	무장의 공격이 40% 증가하며， 지속시간은 무력에 따라 달라집니다.	20	huangguang_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0.4		8	0	2	1	sound/skilleffect/zhenyi/zengyi.wav					
