ID	姓名	是否掉落	掉落章节	副本类型	掉落描述1	掉落描述2	掉落描述3	掉落描述4	掉落描述5	掉落描述6	空行											
84	황충				객잔에서 뽑기를 통해 획득																	
85	동탁	1	9	2	객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
86	여포				객잔에서 뽑기를 통해 획득		포인트 상점에서 교환을 통해 획득															
87	초선				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
88	장각				객잔에서 뽑기를 통해 획득		포인트 상점에서 교환을 통해 획득															
89	채문희	1	6	2	객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득		길드 던전 12장에서 드랍														
90	여령기				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득		길드 던전 13장에서 드랍														
91	화타				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득		길드 던전 12장에서 드랍														
92	축융				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득		길드 던전 14장에서 드랍														
93	조조				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득		길드 던전 11장에서 드랍														
94	사마의				객잔에서 뽑기를 통해 획득		포인트 상점에서 교환을 통해 획득															
95	견희	1	10	2	객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득		길드 던전 7장에서 드랍														
96	하후돈				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득		길드 던전 11장에서 드랍														
97	장료				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득		길드 던전 15장에서 드랍														
98	사마소	1	8	2	객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
99	등애				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
100	장춘화				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득		길드 던전 7장에서 드랍														
101	하후연				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득		길드 던전 10， 11장에서 드랍														
102	순유	1	7	2	객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
103	순욱				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득		길드 던전 15장에서 드랍														
104	가후				객잔에서 뽑기를 통해 획득		포인트 상점에서 교환을 통해 획득															
105	손권				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득		길드 던전 9장에서 드랍														
106	손책				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득		길드 던전 15장에서 드랍														
107	감녕				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득		길드 던전 10장에서 드랍														
108	태사자				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득		길드 던전 16장에서 드랍														
109	주유				객잔에서 뽑기를 통해 획득		포인트 상점에서 교환을 통해 획득															
110	대교				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득		길드 던전 12장에서 드랍														
111	소교				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
112	여몽				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득		길드 던전 8장에서 드랍														
113	손견				객잔에서 뽑기를 통해 획득	상점 구매를 통해 획득																
114	초선(환)	1	11	2	신장뽑기 이벤트에서 획득																	
115	축융(환)				신장뽑기 이벤트에서 획득																	
116	소교(환)				객잔에서 뽑기를 통해 획득																	
117	장비(환)	1	12	2	신장뽑기 이벤트에서 획득																	
118	손상향(환)	1	13	2	신장뽑기 이벤트에서 획득																	
119	유비(환)				객잔에서 뽑기를 통해 획득																	
120	제갈량(환)				VIP7 등급부터 상점에서 구매 가능																	
121	여령기(환)				객잔에서 뽑기를 통해 획득																	
122	하후돈(환)				신장뽑기 이벤트에서 획득																	
123	견희(환)	1	16	2	신장뽑기 이벤트에서 획득																	
124	채문희(환)	1	15	2	신장뽑기 이벤트에서 획득																	
125	주유(환)				신장뽑기 이벤트에서 획득																	
126	장료(환)	1	14	2	신장뽑기 이벤트에서 획득																	
127	관우(환)				신장뽑기 이벤트에서 획득																	
128	조조(환)				신장뽑기 이벤트에서 획득																	
129	조운(환)				신장뽑기 이벤트에서 획득																	
130	여포(환)				VIP12 등급부터 상점에서 구매 가능																	
131	손권(환)				신장뽑기 이벤트에서 획득																	
132	육손(현)				신장뽑기 이벤트에서 획득																	
133	정봉(현)				신장뽑기 이벤트에서 획득																	
134	곽가(현)				신장뽑기 이벤트에서 획득																	
135	조인(현)				신장뽑기 이벤트에서 획득																	
136	우길(현)				신장뽑기 이벤트에서 획득																	
137	좌자(현)				신장뽑기 이벤트에서 획득																	
138	관은병(현)				신장뽑기 이벤트에서 획득																	
139	황월영(현)				신장뽑기 이벤트에서 획득																	
