序号	时机	人物1	位置1	对白1	人物2	位置2	对白2	人物3	位置3	对白3	人物4	位置4	对白4	人物5	位置5	对白5	人物6	位置6	对白6	人物7	位置7	对白7	空列
10	1	90006	2	정원지: 신공을 지닌 천공대군인 내가， 너 같은 좀도둑에게 지다니.	-1	1	주공: 아저씨~! 시대가 어느 시댄데~좀 과학적으로 얘기합시다잉~!	90002	1	장수1: 주공， 과학이 무엇입니까?	-1	1	주공: 음..과학은 그러니까…에효~말을 말자. 이제 곧 탁군이니 빨리 유황숙이나 찾으러 가자!										
11	0	-5	2	유비: 책에서는 유비와 관우， 장비가 도원결의 후에 천하를 호령한다고 하지 않았나?	-1	1	주공: 맞아. 그래서 장비를 찾으러 가자는 거잖아?	-5	2	유비: 그럼 장비는 자기 고향에서 백정일을 하고 있겠지?	-1	1	주공: 여기서 장비의 고향은 무지 멀다구. 게다가 사방에 다 황건적이야!	90002	1	장수1: 주공! 말씀하신 부귀영화는 어디에 있는 거죠?							
12	0	90008	2	고승: 누구냐! 우리가 천공장군 장각님의 부하라는 것은 알고 있을 터!	-5	2	유비: 나 어디서 싸우고 다닌 적 없단 말이야. 피도 얼마나 무서워하는데…	-1	1	주공: 피를 무서워한다고? 그래서 어떻게 험한 세상을 살겠어?	-5	2	유비: …										
13	0	90009	2	산적1: 이 길은 내가 직접 나무를 베어 낸 길이다. 지나가려면 통행료를 내어놓거라!	-5	2	유비: 어머， 황건적만 있는 게 아니고 산적까지 있단 말이야?!	-1	1	주공: 황건적도 다 잡고 오는 길인데， 이깟 산적이 뭐가 무섭다고!!													
14	1	-5	2	유비: 왜 가는 길마다 다 싸우고 죽이기만 하는 거야? 난 이제 정말 싫어!	-1	1	주공: 제발 정신 좀 차려! 너는 지금 유비라고! 삼국시대니까 전쟁으로 먹고 사는 거 아니겠어?	-5	2	유비: 같은 곳을 계속 도는 거 같은데..폰도 없고 지도도 없이 어떻게 찾아가지	-1	1	주공: 폰 얘기하니까， SNS에 글 올린지도 오래 됐네…										
15	0	-5	2	유비: 와~ 핸드폰 찾았다~!!!!!	-1	1	주공: 어디?어디? 배터리 있어?	90002	1	장수1: 주공， 큰일 났습니다. 저 앞에 산적이 떼로 몰려오고 있습니다.	-1	1	주공: 부대!전투준비! 적을 맞을 준비를 하라!	-5	2	유비: 잠시만! 사진 한 장 우선 찍고!	-1	1	주공: ……				
16	0	90010	2	산적2: 요즘 좀도둑들이 설친다는 말이 들린다 했더니， 우리 대왕께서 첩첩이 막고 있는 곳까지 쳐들어왔다는 것이 바로 너희들이냐.	-5	2	유비: 당연하지! 만나는 사람마다 우리를 보면 좋아서 그냥 사족을 못쓰거든~!	90015	2	산적: 그런 말로 너희를 고이 보내줄 것 같으냐?	-1	1	주공: 야… 유비가 뭐 그래? 하다 못해 애교라도 부려봐.	-5	2	유비: 어멋~! 부끄러워서 그런걸 어떻게 해?	-1	1	주공: 유비야~ 네가 우선 미인계라도 써야지 그동안 우리가 뭐라도 해보지! 도대체! 제대로 하는 게 하나도 없냐?				
17	0	90011	2	산적두목: 우리 대왕께서는 이미 너희들이 여기를 지나갈 것을 알고 계셨다. 그래서 이렇게 우리들을 보내신 것이지. 반항하지 않는 것이 좋을 것이다.	-5	2	유비: 잠깐， 계속해서 우리 대왕， 대왕 하는데， 도대체 그 대왕이란 사람이 누구야?	90015	2	산적: 우리 대왕은 바로 탁군 20현을 호령하는 흑풍소패왕 장비님이시다.	-1	1	주공: 뭐라고? 장비? 장비라고?! 그， 그럼 우릴 장비에게 안내하는 게 어떻겠소?	90015	2	산적: 닥쳐! 그냥 죽을 준비나 하시지!							
18	1	-1	1	주공: 흠..우리는 분명 그만 싸우자고 했는데， 당신이 먼저 칼을 겨눈 겁니다.	90011	2	산적 두목: 젊으신 분들이 이렇게 싸움을 잘 하실 줄 몰랐습니다 ㅜㅜ 대단하시군요.	-5	2	유비: 빨리 장비가 어디에 있는지 알려주세요. 앞으로 후일을 도모하게 되면 큰 포상을 내려줄 테니까. 호호호…	90015	2	산적: 잠시만 기다려 주시지요， 대왕께 모셔다 드리겠습니다.										
19	0	90002	1	장수1: 주공， 낙양땅은 이미 빼앗겼고 황제는 생사가 불명하니， 저희는 이제 어찌 해야 할까요?	-1	1	주공: 황제가 없으면 누가 우리에게 상금과 벼슬을 내려주지? 안되겠다! 우선 명을 받들어 낙양으로 가서 황제를 구출하자.	-5	2	유비: 목숨을 걸고 싸워야 돈이나 좀 만질 수 있으니..이노무 세상이 어떻게 돌아가는건지..													
20	0	90012	2	황건정예병사: 천공장군의 명을 받들라! 낙양을 오늘부터 신도로 명하니， 신도를 드나드는 자 살고 싶다면 모두 우리 태평도를 따라야 할 것이다!	-5	2	유비: 뭐야， 종교의 자유는 어쩌고?	-1	1	주공: 야! 여긴 삼국시대잖아! 생각이란 걸 좀 해라， 제발!	90012	2	황건정예병사: 닥쳐라， 따르지 않으면 모두 죽게 될 것이다!										
21	0	90012	2	황건적 정예병: 신도 곳곳에 군사가 있으니， 너희 같은 쥐새끼들이 숨을 곳은 하나도 없을 것이다.	-5	2	유비: 쓸데 없이 사람만 많은거 아냐? 우리집 근처 나이트 죽순이 죽돌이들이 너네보다 더 잘 싸우겠다!	-1	1	주공: 어이! 현덕 누님? 지금 장난할 때야? 이건 진짜 전쟁이고， 사람이 죽어나가고 있다구!	90012	2	황건정예병사: 말이 많구나， 네 목을 먼저 벤 뒤에 이야기하마.										
22	1	90012	2	황건적 정예병: 우리를 속였군， 나를 이겼다고 영웅호걸이 될 수 있을 것 같으냐.	-1	1	주공: 난 애초에 영웅호걸 이런 거 관심없어! 그냥 훈녀들이랑 같이 엘리베이터에 탔다가 갑자기 여기로 휘말려 온 것뿐이지! 내가 당신하고 싸우고 싶어하는 것 같아?!	-5	2	유비: 우선 황제가 어디에 있는지 말해줘. 그래야 어서 돌아가서 그간 못 본 드라마도 보고 하니깐!	90012	2	황건정예병사: 죽이든 살리든 마음대로 해라! 근데 좀 우리가 알아들을 수 있게 이야기해라.										
23	0	90002	1	장수1: 주공， 낙양에 온 지 수 일이 지났습니다만 아직 황제의 종적조차 찾을 수 없습니다. 혹시 황건적에게 다시 잡혀간 건 아닐런지요?	-1	1	주공: 그럴 수도 있겠지! 하지만 무슨 수를 써서라도 황제를 찾고야 말겠어.	-5	2	유비: 황건적 몇 명을 잡아다가 뜨거운 맛을 보여주자구~그럼 불게 될 꺼야.	-1	1	주공: 좋아. 그럼 황건적은 유비에게 맡기자고.										
24	0	90002	1	장수1: 주공， 소장이 몇 놈을 잡아 고문을 하니 황제가 낙양의 천옥에 갇혔다고 자백 합니다.	-1	1	주공: 좋아! 바로 가서 황제를 구하자!	42	2	장포: 게 누구냐! 그냥 내 부대를 지나쳐 갈 생각을 하다니!													
25	0	-1	1	주공: 어이… 그 황건적 양반， 어서 황제를 놓아줘라. 오늘 기분이 좋으니 목숨만은 살려줄라니까. 괜히 붙들어놓고 있다가 나한테 쳐 맞지나 말고!	42	2	장포: 간댕이가 부은 녀석이군， 신도의 천옥이 어떤 곳인 줄 아느냐， 오라면 오고 가라면 갈 수 있는 곳인 것 같으냐?	-5	2	유비: 전군! 무기를 들어라! 오늘은 진정한 내 실력을 보여 주겠어!													
26	1	42	2	장포: 내 천공장군을 따라 거사를 일으킨 후 수많은 한군들을 베어오면서 크고 작은 전쟁에서 패한 적이 없거늘， 오늘 너희 같은 적수를 만나리라 생각도 못했다.	-1	1	주공: 장군은 충직한 사람인 것 같은데 왜 황건적에 가담을 하고 계십니까? 제가 보아온 황건적들은 대부분 악행과 살인을 일삼았습니다. 그러면 안 되지 않습니까?	42	2	장포: 내가 천공을 따라 봉기를 일으킨 것은 본래 천하의 백성을 구하기 위함이었다. 그러나 뜻밖에도 불한당들까지 끼어들어 이렇게 도리에 어긋난 일을 하게 되었지.	-5	2	유비: 보아하니 장군님도 좋은 사람 같은데， 황제를 그냥 놓아주세요. 백성들에게는 황제가 필요해요.	42	2	장포: 음……							
27	0	-5	2	유비: 겨우 황제를 찾았더니 눈 앞에는 황건적 호랑이들이 있고 등 뒤에는 동탁이라는 늑대가 도사리고 있으니 도대체 어떻게 해야 하는 거야?	-1	1	주공: 에고， 포상과 벼슬은 커녕 목숨 하나 온전히 보전하기 어렵겠는 걸......	90002	1	장수1: 주공 걱정 마십시오. 소장이 길을 낼테니 그리로 빠져나가도록 하십시오!													
28	0	32	2	황보숭: 나의 황건적 30만 대군이 여기에 있다. 너희들은 절대 빠져나가지 못할 것이야!	-1	1	주공: 제발! 이 형님 열 좀 받게 하지마라!	32	2	황보숭: 흥! 내가 한 수 가르쳐주지!													
29	0	32	2	황보숭: 고작 이 병마로 감히 천공장군과 맞서려 하다니， 네 주제를 모르는군!	-1	1	주공: 저 놈이 저렇게 판을 벌리니 처리할 방법을 생각해 봐야겠구만.	-5	2	유비: 내 핸드폰 배터리가 아직 남아있으니까 이따가 너희 싸울 때 내가 플래시로 저 놈의 눈을 멀게 할게!	-1	1	주공: 좋은데? ㅋㅋㅋ										
30	1	32	2	황보숭: 요상한 속임수를 부리다니! 이런 비겁한!	-1	1	주공: 너희들은 알지도 못하는 것이지. 이게 바로 플래시라고 하는 것이다. 요상한 속임수가 아니라고요! 쳐발린 주제에 말도 많군.	32	2	황보숭: 나를 이겼다고 하지만， 뒤에 우리 황건적 수십만대군이 기다리고 있다. 그 의기양양한 모습이 얼마나 가는지 두고보자!													
31	0	32	2	황보숭: 하하하， 좀도둑같은 놈들， 기어이 이 곳까지 기어왔구나. 보아하니 이전 놈들이 어떻게 되었는지는 모르는 모양이로군. 너희를 살려 보내지 않을 것이다!	-5	2	유비: 야야~! 내가 문제를 한가지 낼 건데， 만약 정답을 맞추면 우리가 그냥 항복할게! 쿨하자나? 어때?	32	2	황보숭: 좋다! 내 천공장군을 모신지 수 년， 위로는 천문학부터 아래로는 지리학까지 온갖 학문을 섭렵하고 있지. 나를 이기지는 못 할 것이야!	-5	2	유비: 그래!그래! 자~질문할게! 내가 널~어떻게 죽여줄까?	32	2	황보숭: 이익!……네 이 놈!!! 내 칼을 받아라!							
32	1	-1	1	주공: 오오! 갑자기 그런 식으로 도발할 줄은 몰랐는데.	-5	2	유비: 야! 난 그냥 저 아저씨를 흥분시켜 네게 기습할 기회를 만들어주려고 한 것뿐이야.	-1	1	주공: 참나， 도대체 네 어머님은 널 어떻게 키우신 거냐~?													
33	0	90002	1	장수1: 주공， 큰일이 났습니다. 서량 동탁의 선봉부대가 이미 도착했답니다!	-1	1	주공: 동탁 이 뚱땡이가 황건적과 결탁하려고 하는 건가? 교활한 놈!	90002	1	장수1: 주공은 황건적을 맡으십시오. 역적 동탁은 소장이 맡겠습니다.	-1	1	주공: 그래! 수고가 많아. 이 전쟁이 끝나거든 한 몫 두둑이 챙겨주지.										
34	0	85	2	동탁: 서량태수， 장군 동탁이 여기에 왔다. 당장 천자를 내놓지 못할까!	-5	2	유비: 참네~정말 상종할 가치가 없네. 책에 나온 그대로잖아?	-1	1	주공: 그럼 초선은 어디에 있는 거지?	-5	2	유비: 보면 뭐 어쩌려고? 모르긴 몰라도 나보다 예쁘지는 않을 걸?	-1	1	주공: ……동탁은 들어라!! 천자는 우리가 모신다! 너는 물러서서 살이나 빼거라!!							
35	1	85	2	동탁: 이번에는 여기까지 하지. 네가 한 번 이겼다고 해도， 난 아직 수 만의 서량 대군을 거느리고 있다. 네 놈은 결국에 천자를 내놓게 될 것이다.	-1	1	주공: 우리가 얼마나 개고생해서 황건적의 손아귀에서 천자를 구출했는데 네가 내놓으란다고 줄 것 같으냐?	85	2	동탁: 뭣?! 너희도 천자를 구출하러 온 거라고?	-5	2	유비: 왜? 왜 저러는 거야?	-1	1	주공: 책에서는 동탁이 역적이라고 하지 않았었나? 이건 대체……							
36	0	-1	1	주공: 그러고 보니 이리로 넘어온 이후 이상한 일 투성이군. 동탁이 믿을 만한 아군이라니.	-5	2	유비: 그럼 나는 유황숙이 아직 될 수 없는 거 아냐? 뭐 어쨌든 황제가 빨리 포상금을 하사하면 그것만 챙기면 되니깐~!	-1	1	주공: 자자~ 우선 앞에 있는 황건적 떼들이나 어떻게 할지 생각이나 하자규~													
37	0	57	2	고순: 신도대옥에서 황제를 납치한 놈들이 있다더니 너희들이 그 우매한 족속들이더냐?	-5	2	유비: 우매? 우매하다는 게 뭐야?	-1	1	주공: 그것도 모르냐? 사실 나도 몰라! 그런데 고순이라는 이름 되게 익숙한데， 왜 이렇게 생각이 안 나지?.....	-5	2	유비: 혼자 뭐라고 중얼중얼 하는 거야?	-1	1	주공: 너 잘났다고.							
38	0	57	2	고순: 천하의 반이 우리 황건적의 손아귀에 있다. 너희들의 고작 그 정도의 병마로는 황제， 아니 천왕의 아들을 데리고 있다고 해도 아무런 도움이 되지 못할 것이다.	-1	1	주공: 동탁 쪽은 어떤지 모르겠네， 온통 황건적이 판을 치는구만!	90002	1	장수1: 주공 걱정 마십시오. 동탁은 서량에 오래 살았고 용맹하며 전쟁에 능하니 큰 문제 없을 것 입니다.	-5	2	유비: 아?그래? 아무튼 뭐 동탁이 대단하긴 한가 보네…										
39	1	57	2	고순: 오늘은 내가 졌다. 죽이든 베든 마음대로 해라!	-1	1	주공: 에이~함부로 사람을 죽이면 쓰나~? 그냥 가보슈!	57	2	고순: 어째서 전쟁에서 패배한 장군을 죽이지 않는 것인가?!	-5	2	유비: 우리는 누구를 죽이러 온 것이 아니야~ 그럼， 어떻게 하면 싸움을 피해 갈 수 있는지 말해줘!	57	2	고순: 좋다! 이쪽으로 가라. 동남쪽 10리 거리에 산길이 있다. 그 길로 가면 포위망을 뚫을 수 있을 것이야.							
40	0	90012	2	황건적 정예병: 누구냐? 게 섰거라， 따르지 않을 경우 화살을 쏠 것이다!	-5	2	유비: 양심을 밥 말아 먹었나. 이 길에는 황건적이 없다고 했잖아! 이럴 줄 알았으면 그 인간을 확!	-1	1	주공: 이봐요. 우리는 명령을 따라 황제를 모시고 있습니다. 적이 아닙니다. 관문을 지나가게 해주십시오.	90012	2	황건정예병사: 나는 이 관문을 지키라 명 받았다. 천공장군의 친필서를 가진 자가 아니라면 그 어떤 이도 통과시킬 수 없다!	-1	1	주공: 여기 어디 공증 받을 데 없나… 또 싸워야 하다니!							
41	0	-5	2	유비: 싸우고， 싸우고， 또 싸우고， 하지만 우리가 죽이지 않으면 다른 사람이 우리를 죽이려 하겠지. 이 지긋지긋한 상황은 언제쯤 끝나는 걸까.	-1	1	주공: 동탁이 뒤에 버티고 있어서 다행이군. 그렇지 않았다면 사방에서 공격을 받아 완전 박살이 났을 텐데.	-5	2	유비: 드라마에서는 차원을 넘으면 왕자나 훈남들이랑 사랑에 빠져 행복하게도 살던데， 나는 왜 하필 전쟁통으로 떨어진 건지..	-1	1	주공: 이봐! 정신 좀 차려! 저기 또 황건적이 오고 있잖아! 서둘러!										
42	0	88	2	장각: 오늘 당신들이 이 곳을 지나가게 될 것이라는 것을 이미 알고 있었소 그대들을 오랫동안 기다리고 있었소이다.	-5	2	유비: 누구세요?	88	2	장각: 이 몸은 영웅호걸， 풍류를 알고 그 법력 또한 무한한， 만인에게 신뢰받는 천공대장군 장각이외다.	-5	2	유비: 제 때 약 안 먹은 인간이 또 나타났구만...	-1	1	주공: 아아~ 됐고， 한 판 붙자!							
43	1	88	2	장각: 오늘은 운 좋게도 여기서 물러나겠지만 언젠가 반드시 그 목숨을 받으러 가겠소이다!	-1	1	주공: 드디어 황건적의 손에서 벗어났네. 장각 아저씨 안녕히 가세요!	-5	2	유비: 이번에는 황제가 우리에게 포상금과 벼슬을 내려주겠지?	-1	1	주공: 급할 게 뭐 있어? 먼저 황제를 안전한 곳으로 모시고 가서 조정을 다시 세우는 게 급선무야!										
44	0	-5	2	유비: 그 전국옥새라는 게 엄청 비싼 거 같던데， 우리 중고시장 같은 데다 팔아볼까? 	-1	1	주공: 헛소리 좀 그만해! 여기는 삼국시대라고. 그리고 옥새를 판다니 제정신이야? 게다가 병사들이 지키고 있다는 황제의 말 못 들었어?	-5	2	유비: 아니 뭐 그렇잖아! 우리가 지금 이렇게 열심히 싸우고 있는데 땡전 한 푼 못 받고 있다는 게 말이 돼? 내 하루 일당이 얼만데.	-1	1	주공: 그만하고!!. 저노무 황건적이 또 쳐들어오는구나~! 										
45	0	-5	2	유비: 근데 우리 지금 어디로 가는 거야?	-1	1	주공: 허창. 옥새가 거기 있다고 황제가 그랬잖아.	-5	2	유비: 널 만난 이후로 계속 이리저리 뛰어다니는 것 같아. 내 착각인가? 이게 뭐야~도적떼도 아니고..	-1	1	주공: 봐~세상이 이렇게 넓다구! 한번 가 보는 것도 나쁘지 않잖아~?										
46	0	-5	2	유비: 혹시 여기 특산물 같은 건 없어? 조금 사다가 가면서 먹는 게 어때?	-1	1	주공: 특산물이 바로 황건적이잖아.	-5	2	유비: 왜?	-1	1	주공: 아직도 왜냐는 말이 나와? 저 앞에 샛노란 것들 안 보여?	-5	2	유비: 에휴， 지겹다 지겨워!!							
47	1	90002	1	장수1: 주공， 옥새 안에는 도대체 어떤 비밀이 숨겨져 있는 것인지요? 어찌하여 천자와 황건적이 서로 옥새를 가지려 하는 것인지 모르겠습니다.	-1	1	주공: 나도 모르겠어. 하지만 이 모든 일이 이 옥새와 어떤 관계가 있는 것 같은 기분이 들어. 혹시 옥새를 찾으면 내가 왜 이 곳으로 넘어왔는지 이유를 알 수 있지 않을까?	-5	2	유비: 그랬으면 좋겠다~ 매일 아침 팔로우한 친구들 소식을 보면서 지낸 날들이 그립다…	90002	1	장수1: 그 친구들은 또 무엇이랍니까?	-5	2	유비: 어…있어..그런 게..							
48	0	-5	2	유비: 옥새를 찾으면 황제가 포상금을 주겠지?	-1	1	주공: 포상금 같은 소리 하고 있네. 이렇게 싸우고 있는데도 수당 한 번 챙겨준 적이 없는데.	-5	2	유비: 이래서 윗사람이 중요한 거야. 황제가 이렇게 가난해서야. 차라리 황건적이 되는 것이 낫겠네. 에휴~	-1	1	주공: 그렇게 황건적을 죽여 놓고서는 지금은 황건적이 되고 싶은 거야? 잡혀서 인질이나 되지 않게 조심하라구!										
49	0	-5	2	유비: 허창에 가면 먼저 옥새 사진부터 찍어서 SNS에 올려야겠다	-1	1	주공: 여보세요~ 그 고장 난 핸드폰에 배터리나 있고? 여긴 삼국시대라고. 인터넷이 어디 있어?	-5	2	유비: 에잇， 아쉽다. 내가 여기서 겪었던 일을 돌아가서 얘기해 봐야 아무도 믿지 않을 텐데. 사진 없이 어떻게 믿겠어.	-1	1	주공: 사진이 있어도 누가 믿어주겠냐? 빨리 옥새나 찾으러 가자. 그 안에 무슨 비밀이 숨어져 있는지 알아 보자고.										
50	0	90013	2	장연: 창천은 죽고 황천이 일어나 한가의 운명은 다 했거늘， 그대들은 어이하여 이리 발악하는가. 차라리 우리 태평도교에 의탁하여 천공장군을 따르는 것은 어떠한가?	-1	1	주공: 황건적들은 왜 이렇게 다 자아도취인 거야? 책에서는 얼마 가지 않아서 폭망했다고 하지 않았었나?	-5	2	유비: 쓸데없는 소리 그만하고 이 몸이 허창에 갈 수 있도록 빨리 문이나 열어라!	90013	2	장연: 그렇다면 날 원망하지 말아라!										
51	1	-5	2	유비: 힘들어 죽겠네， 이놈의 황건적 놈들은 왜 이렇게 싸움을 잘 하는 거야?	-1	1	주공: 보아하니 장각이 정예부하들만 우리를 쫓는 데 다 보내고 있는 모양이야. 이 전국옥새란 게 장각한테는 뭔가 중요한 것임은 틀림 없는 거 같군!	-5	2	유비: 그렇다면 그 안에 있는 게 혹시 규화보전?	-1	1	주공: 참내! 여보세요! 규화보전은 명나라 시대 때라고! 우리는 지금 삼국시대에 있는 거고!										
52	0	-5	2	유비: 이 길이 전설의 관도로군. 이제 허창까지는 100리 밖에 안 남았다는 거네. 이제 정말 거의 다 왔어.	-9	2	제갈량: 주공， 이 길에는 황건적 무리가 진을 치고 있을 겁니다. 제가 산길을 알고 있습니다. 그 길은 조금 덜할 겁니다.	-1	1	주공: 그럼 적이 좀 적은 길로 가죠	-5	2	유비: 음… 굴러온 돌이 박힌 돌을 뺀다더니.										
53	0	-5	2	유비: 또 황건적이잖아. 내 병사들을 데리고 옆에서 기습을 하는 게 어때?	-9	2	제갈량: 현덕 언니， 산이 이렇게 협소한데 어디에 옆 쪽이 있다는 말이 예요?	-5	2	유비: 너 왜 나한테만 꼬박꼬박 태클이야?	-1	1	주공: 에휴， 두 사람 그만 좀 싸워. 힘을 합해서 적을 물리쳐야 할 때라고.										
54	0	48	2	하후패: 어디서 온 거적패들이냐? 거기다 이쁜 숙녀를 옆에 데리고 싸우겠다고?	-5	2	유비: 응? 지금 우리 얘기하는 건가? 거기 아저씨들! 숙녀를 앞에 두고 말 좀 예쁘게 할 수 없어?	48	2	하후패: 미안하게 됐소. 근데 이쁜 숙녀는 그대를 의미한 것이 아니라 옆의 그 처자에게 말한 것이오. 뭐， 관심 있으면 이 몸의 첩이나 되시게나. 하하.	-5	2	유비: 저 시키가.. 가만 두지 않을 테다!										
55	0	-9	2	제갈량: 주공， 최근 나타나는 황건적들은 우리가 익히 알고 있는 황건적과는 다른 듯합니다. 점점 이상해지니 조심해야 할 것 같습니다.	-5	2	유비: 그래， 너 잘났다. 제갈량의 말은 무시해. 뭐가 그렇게 무서워서… 다섯 중에 둘이 빠져도 우리 셋이서 이 황건적 산적들을 물리칠 수 있어. 	-1	1	주공: 현덕! 봐봐! 지금 황건적 무리들이 이상한 것 같지 않아?	-5	2	유비: 뭐가? 설마 이전 황건적보다 다들 잘생겨졌다는건 아니겠지?										
