主城id	据点id	据点名称	据点图标	守将等级	主将id	主将阶级	主将等级	副将1id	副将1阶级	副将1等级	副将2id	副将2阶级	副将2等级	小兵1ID	小兵2ID	小兵3ID	小兵等级	空行				
7	12	거점12	xx	60	78	15	65	119	15	65	77	15	65	1103	2103	3103	17					
7	13	거점13	xx	60	76	15	65	119	15	65	118	15	65	1103	2103	3103	18					
7	14	거점14	xx	60	94	15	65	95	15	65	128	15	65	1103	2103	3103	19					
7	15	거점15	xx	60	95	15	65	115	15	65	121	15	65	1103	2103	3103	20					
8	1	거점1	xx	60	130	15	65	94	15	65	120	15	65	1103	2103	3103	21					
8	2	거점2	xx	60	62	15	65	51	15	65	50	15	65	1102	2102	3102	19					
8	3	거점3	xx	60	63	15	65	50	15	65	49	15	65	1102	2102	3102	20					
8	4	거점4	xx	60	87	15	65	49	15	65	48	15	65	1102	2102	3102	20					
8	5	거점5	xx	60	65	15	65	48	15	65	47	15	65	1103	2103	3103	1					
8	6	거점6	xx	60	66	15	65	47	15	65	46	15	65	1103	2103	3103	2					
8	7	거점7	xx	60	67	15	65	46	15	65	45	15	65	1103	2103	3103	3					
8	8	거점8	xx	60	68	15	65	45	15	65	44	15	65	1103	2103	3103	4					
8	9	거점9	xx	60	86	15	65	44	15	65	43	15	65	1103	2103	3103	5					
8	10	거점10	xx	60	70	15	65	43	15	65	42	15	65	1103	2103	3103	6					
8	11	거점11	xx	60	71	15	65	42	15	65	41	15	65	1103	2103	3103	7					
8	12	거점12	xx	60	72	15	65	41	15	65	40	15	65	1103	2103	3103	9					
8	13	거점13	xx	60	73	15	65	40	15	65	41	15	65	1103	2103	3103	10					
8	14	거점14	xx	60	88	15	65	41	15	65	72	15	65	1103	2103	3103	11					
8	15	거점15	xx	60	85	15	65	90	15	65	92	15	65	1103	2103	3103	12					
9	1	거점1	xx	60	90	20	302	78	20	302	107	20	302	1103	2103	3103	13					
9	2	거점2	xx	60	79	20	302	74	20	302	83	20	302	1103	2103	3103	14					
9	3	거점3	xx	60	93	20	302	94	20	302	101	20	302	1103	2103	3103	15					
9	4	거점4	xx	60	120	20	302	76	20	302	78	20	302	1103	2103	3103	16					
9	5	거점5	xx	60	78	20	302	119	20	302	77	20	302	1103	2103	3103	17					
9	6	거점6	xx	60	76	20	302	119	20	302	118	20	302	1103	2103	3103	18					
9	7	거점7	xx	60	94	20	302	95	20	302	128	20	302	1103	2103	3103	19					
9	8	거점8	xx	60	95	20	302	115	20	302	121	20	302	1103	2103	3103	20					
9	9	거점9	xx	60	130	20	302	94	20	302	120	20	302	1103	2103	3103	21					
9	10	거점10	xx	60	62	20	302	51	20	302	50	20	302	1102	2102	3102	19					
9	11	거점11	xx	60	63	20	302	50	20	302	49	20	302	1102	2102	3102	20					
9	12	거점12	xx	60	87	20	302	49	20	302	48	20	302	1102	2102	3102	20					
9	13	거점13	xx	60	65	20	302	48	20	302	47	20	302	1103	2103	3103	1					
9	14	거점14	xx	60	66	20	302	47	20	302	46	20	302	1103	2103	3103	2					
9	15	거점15	xx	60	67	20	302	46	20	302	45	20	302	1103	2103	3103	3					
10	1	거점1	xx	60	68	17	182	45	17	182	44	17	182	1103	2103	3103	4					
10	2	거점2	xx	60	86	17	182	44	17	182	43	17	182	1103	2103	3103	5					
10	3	거점3	xx	60	70	17	182	43	17	182	42	17	182	1103	2103	3103	6					
10	4	거점4	xx	60	71	17	182	42	17	182	41	17	182	1103	2103	3103	7					
10	5	거점5	xx	60	72	17	182	41	17	182	40	17	182	1103	2103	3103	9					
10	6	거점6	xx	60	73	17	182	40	17	182	41	17	182	1103	2103	3103	10					
10	7	거점7	xx	60	88	17	182	41	17	182	72	17	182	1103	2103	3103	11					
10	8	거점8	xx	60	85	17	182	90	17	182	92	17	182	1103	2103	3103	12					
10	9	거점9	xx	60	90	17	182	78	17	182	107	17	182	1103	2103	3103	13					
10	10	거점10	xx	60	79	17	182	74	17	182	83	17	182	1103	2103	3103	14					
10	11	거점11	xx	60	93	17	182	94	17	182	101	17	182	1103	2103	3103	15					
10	12	거점12	xx	60	120	17	182	76	17	182	78	17	182	1103	2103	3103	16					
10	13	거점13	xx	60	78	17	182	119	17	182	77	17	182	1103	2103	3103	17					
10	14	거점14	xx	60	76	17	182	119	17	182	118	17	182	1103	2103	3103	18					
10	15	거점15	xx	60	94	17	182	95	17	182	128	17	182	1103	2103	3103	19					
11	1	거점1	xx	60	40	20	302	302	20	302	72	20	302	1102	2102	3102	7					
11	2	거점2	xx	60	41	20	302	72	20	302	71	20	302	1102	2102	3102	7					
11	3	거점3	xx	60	42	20	302	71	20	302	70	20	302	1102	2102	3102	8					
11	4	거점4	xx	60	43	20	302	70	20	302	69	20	302	1102	2102	3102	8					
11	5	거점5	xx	60	106	20	302	69	20	302	68	20	302	1102	2102	3102	9					
11	6	거점6	xx	60	45	20	302	68	20	302	67	20	302	1102	2102	3102	9					
11	7	거점7	xx	60	46	20	302	67	20	302	66	20	302	1102	2102	3102	10					
11	8	거점8	xx	60	47	20	302	66	20	302	65	20	302	1102	2102	3102	10					
11	9	거점9	xx	60	48	20	302	65	20	302	64	20	302	1102	2102	3102	11					
11	10	거점10	xx	60	97	20	302	64	20	302	63	20	302	1102	2102	3102	11					
11	11	거점11	xx	60	50	20	302	63	20	302	62	20	302	1102	2102	3102	12					
11	12	거점12	xx	60	51	20	302	62	20	302	61	20	302	1102	2102	3102	12					
11	13	거점13	xx	60	52	20	302	61	20	302	60	20	302	1102	2102	3102	13					
11	14	거점14	xx	60	53	20	302	60	20	302	59	20	302	1102	2102	3102	13					
11	15	거점15	xx	60	94	20	302	59	20	302	58	20	302	1102	2102	3102	14					
12	1	거점1	xx	60	70	15	65	43	15	65	42	15	65	1103	2103	3103	6					
12	2	거점2	xx	60	71	15	65	42	15	65	41	15	65	1103	2103	3103	7					
12	3	거점3	xx	60	72	15	65	41	15	65	40	15	65	1103	2103	3103	9					
12	4	거점4	xx	60	73	15	65	40	15	65	41	15	65	1103	2103	3103	10					
12	5	거점5	xx	60	88	15	65	41	15	65	72	15	65	1103	2103	3103	11					
12	6	거점6	xx	60	85	15	65	90	15	65	92	15	65	1103	2103	3103	12					
12	7	거점7	xx	60	90	15	65	78	15	65	107	15	65	1103	2103	3103	13					
12	8	거점8	xx	60	79	15	65	74	15	65	83	15	65	1103	2103	3103	14					
12	9	거점9	xx	60	93	15	65	94	15	65	101	15	65	1103	2103	3103	15					
12	10	거점10	xx	60	120	15	65	76	15	65	78	15	65	1103	2103	3103	16					
12	11	거점11	xx	60	78	15	65	119	15	65	77	15	65	1103	2103	3103	17					
12	12	거점12	xx	60	76	15	65	119	15	65	118	15	65	1103	2103	3103	18					
12	13	거점13	xx	60	94	15	65	95	15	65	128	15	65	1103	2103	3103	19					
12	14	거점14	xx	60	95	15	65	115	15	65	121	15	65	1103	2103	3103	20					
12	15	거점15	xx	60	130	15	65	94	15	65	120	15	65	1103	2103	3103	21					
