难度	关卡	基础	额外	空行
2	5	{{-3,4,8250},{-6,4,54},}	{{44,4,7},}	
2	6	{{-3,4,8325},{-6,4,56},}		
2	7	{{-3,4,8400},{-6,4,59},}		
2	8	{{-3,4,8625},{-6,4,62},}		
2	9	{{-3,4,8775},{-6,4,65},}		
2	10	{{-3,4,9000},{-6,4,68},}	{{-3,4,100000},}	
2	11	{{-3,4,9075},{-6,4,70},}		
2	12	{{-3,4,9150},{-6,4,73},}		
2	13	{{-3,4,9375},{-6,4,76},}		
2	14	{{-3,4,9525},{-6,4,79},}		
2	15	{{-3,4,9750},{-6,4,82},}	{{40,4,4},}	
2	16	{{-3,4,9825},{-6,4,84},}		
2	17	{{-3,4,9900},{-6,4,87},}		
2	18	{{-3,4,10125},{-6,4,90},}		
2	19	{{-3,4,10275},{-6,4,93},}		
2	20	{{-3,4,10500},{-6,4,96},}	{{-3,4,150000},{51,4,2}}	
2	21	{{-3,4,10575},{-6,4,98},}		
2	22	{{-3,4,10650},{-6,4,101},}		
2	23	{{-3,4,10875},{-6,4,104},}		
2	24	{{-3,4,11025},{-6,4,107},}		
2	25	{{-3,4,11250},{-6,4,110},}	{{4,4,7},{51,4,2}}	
2	26	{{-3,4,11325},{-6,4,112},}		
2	27	{{-3,4,11400},{-6,4,115},}		
2	28	{{-3,4,11625},{-6,4,118},}		
2	29	{{-3,4,11775},{-6,4,121},}		
2	30	{{-3,4,12000},{-6,4,124},}	{{-3,4,200000},{51,4,2}}	
2	31	{{-3,4,12075},{-6,4,126},}		
2	32	{{-3,4,12150},{-6,4,129},}		
2	33	{{-3,4,12375},{-6,4,132},}		
2	34	{{-3,4,12525},{-6,4,135},}		
2	35	{{-3,4,12750},{-6,4,138},}	{{40,4,6},{51,4,2}}	
2	36	{{-3,4,12825},{-6,4,140},}		
2	37	{{-3,4,12900},{-6,4,143},}		
2	38	{{-3,4,13125},{-6,4,146},}		
2	39	{{-3,4,13275},{-6,4,149},}		
2	40	{{-3,4,13500},{-6,4,152},}	{{-3,4,250000},{51,4,2}}	
2	41	{{-3,4,13575},{-6,4,154},}		
2	42	{{-3,4,13650},{-6,4,157},}		
2	43	{{-3,4,13875},{-6,4,160},}		
2	44	{{-3,4,14025},{-6,4,163},}		
2	45	{{-3,4,14250},{-6,4,166},}	{{4,4,13},{51,4,2}}	
2	46	{{-3,4,14325},{-6,4,168},}		
2	47	{{-3,4,14400},{-6,4,171},}		
2	48	{{-3,4,14625},{-6,4,174},}		
2	49	{{-3,4,14775},{-6,4,177},}		
2	50	{{-3,4,15000},{-6,4,180},}	{{-3,4,350000},{51,4,2}}	
2	51	{{-3,4,15075},{-6,4,183},}		
2	52	{{-3,4,15150},{-6,4,186},}		
2	53	{{-3,4,15375},{-6,4,189},}		
2	54	{{-3,4,15525},{-6,4,192},}		
2	55	{{-3,4,15750},{-6,4,195},}	{{40,4,8},{51,4,2}}	
2	56	{{-3,4,15825},{-6,4,198},}		
2	57	{{-3,4,15900},{-6,4,201},}		
2	58	{{-3,4,16125},{-6,4,204},}		
2	59	{{-3,4,16275},{-6,4,207},}		
2	60	{{-3,4,16500},{-6,4,210},}	{{-3,4,500000},{51,4,2}}	
2	61	{{-3,4,17475},{-6,4,213},}		
2	62	{{-3,4,17700},{-6,4,216},}		
2	63	{{-3,4,17925},{-6,4,219},}		
2	64	{{-3,4,18150},{-6,4,222},}		
2	65	{{-3,4,18375},{-6,4,225},}	{{43,4,40},{51,4,4}}	
2	66	{{-3,4,18600},{-6,4,228},}		
2	67	{{-3,4,18825},{-6,4,231},}		
2	68	{{-3,4,19050},{-6,4,234},}		
2	69	{{-3,4,19275},{-6,4,237},}		
2	70	{{-3,4,19500},{-6,4,240},}	{{-3,4,550000},{51,4,4}}	
2	71	{{-3,4,19725},{-6,4,243},}		
2	72	{{-3,4,19950},{-6,4,246},}		
2	73	{{-3,4,20175},{-6,4,249},}		
2	74	{{-3,4,20400},{-6,4,252},}		
2	75	{{-3,4,20625},{-6,4,255},}	{{40,4,10},{51,4,4}}	
2	76	{{-3,4,20850},{-6,4,258},}		
2	77	{{-3,4,21075},{-6,4,261},}		
2	78	{{-3,4,21300},{-6,4,264},}		
2	79	{{-3,4,21525},{-6,4,267},}		
2	80	{{-3,4,21750},{-6,4,270},}	{{-3,4,600000},{51,4,4}}	
3	1	{{-3,4,9600},{-6,4,60},}		
3	2	{{-3,4,9792},{-6,4,64},}		
3	3	{{-3,4,10080},{-6,4,68},}		
3	4	{{-3,4,10272},{-6,4,72},}		
3	5	{{-3,4,10560},{-6,4,76},}	{{44,4,10},}	
3	6	{{-3,4,10656},{-6,4,80},}		
3	7	{{-3,4,10752},{-6,4,84},}		
3	8	{{-3,4,11040},{-6,4,88},}		
3	9	{{-3,4,11232},{-6,4,92},}		
3	10	{{-3,4,11520},{-6,4,96},}	{{-3,4,130000},}	
3	11	{{-3,4,11616},{-6,4,100},}		
3	12	{{-3,4,11712},{-6,4,104},}		
3	13	{{-3,4,12000},{-6,4,108},}		
3	14	{{-3,4,12192},{-6,4,112},}		
3	15	{{-3,4,12480},{-6,4,116},}	{{40,4,5},}	
3	16	{{-3,4,12576},{-6,4,120},}		
3	17	{{-3,4,12672},{-6,4,124},}		
3	18	{{-3,4,12960},{-6,4,128},}		
3	19	{{-3,4,13152},{-6,4,132},}		
3	20	{{-3,4,13440},{-6,4,136},}	{{-3,4,200000},{51,4,3}}	
3	21	{{-3,4,13536},{-6,4,140},}		
3	22	{{-3,4,13632},{-6,4,144},}		
3	23	{{-3,4,13920},{-6,4,148},}		
3	24	{{-3,4,14112},{-6,4,152},}		
3	25	{{-3,4,14400},{-6,4,156},}	{{4,4,10},{51,4,3}}	
3	26	{{-3,4,14496},{-6,4,160},}		
3	27	{{-3,4,14592},{-6,4,164},}		
3	28	{{-3,4,14880},{-6,4,168},}		
3	29	{{-3,4,15072},{-6,4,172},}		
3	30	{{-3,4,15360},{-6,4,176},}	{{-3,4,250000},{51,4,3}}	
3	31	{{-3,4,15456},{-6,4,180},}		
3	32	{{-3,4,15552},{-6,4,184},}		
3	33	{{-3,4,15840},{-6,4,188},}		
3	34	{{-3,4,16032},{-6,4,192},}		
3	35	{{-3,4,16320},{-6,4,196},}	{{40,4,7},{51,4,3}}	
3	36	{{-3,4,16416},{-6,4,200},}		
3	37	{{-3,4,16512},{-6,4,204},}		
3	38	{{-3,4,16800},{-6,4,208},}		
3	39	{{-3,4,16992},{-6,4,212},}		
3	40	{{-3,4,17280},{-6,4,216},}	{{-3,4,300000},{51,4,3}}	
3	41	{{-3,4,17376},{-6,4,220},}		
3	42	{{-3,4,17472},{-6,4,224},}		
3	43	{{-3,4,17760},{-6,4,228},}		
3	44	{{-3,4,17952},{-6,4,232},}		
3	45	{{-3,4,18240},{-6,4,236},}	{{4,4,17},{51,4,3}}	
3	46	{{-3,4,18336},{-6,4,240},}		
3	47	{{-3,4,18432},{-6,4,244},}		
3	48	{{-3,4,18720},{-6,4,248},}		
3	49	{{-3,4,18912},{-6,4,252},}		
3	50	{{-3,4,19200},{-6,4,256},}	{{-3,4,400000},{51,4,3}}	
3	51	{{-3,4,19296},{-6,4,260},}		
3	52	{{-3,4,19392},{-6,4,264},}		
3	53	{{-3,4,19680},{-6,4,268},}		
3	54	{{-3,4,19872},{-6,4,272},}		
3	55	{{-3,4,20160},{-6,4,276},}	{{40,4,9},{51,4,3}}	
3	56	{{-3,4,20256},{-6,4,280},}		
3	57	{{-3,4,20352},{-6,4,284},}		
3	58	{{-3,4,20640},{-6,4,288},}		
3	59	{{-3,4,20832},{-6,4,292},}		
3	60	{{-3,4,21120},{-6,4,296},}	{{-3,4,600000},{51,4,3}}	
3	61	{{-3,4,22368},{-6,4,300},}		
3	62	{{-3,4,22656},{-6,4,304},}		
3	63	{{-3,4,22944},{-6,4,308},}		
3	64	{{-3,4,23232},{-6,4,312},}		
3	65	{{-3,4,23520},{-6,4,316},}	{{43,4,50},{51,4,6}}	
3	66	{{-3,4,23808},{-6,4,320},}		
3	67	{{-3,4,24096},{-6,4,324},}		
3	68	{{-3,4,24384},{-6,4,328},}		
3	69	{{-3,4,24672},{-6,4,332},}		
3	70	{{-3,4,24960},{-6,4,336},}	{{-3,4,700000},{51,4,6}}	
3	71	{{-3,4,25248},{-6,4,340},}		
3	72	{{-3,4,25536},{-6,4,344},}		
3	73	{{-3,4,25824},{-6,4,348},}		
3	74	{{-3,4,26112},{-6,4,352},}		
3	75	{{-3,4,26400},{-6,4,356},}	{{40,4,11},{51,4,6}}	
3	76	{{-3,4,26688},{-6,4,360},}		
3	77	{{-3,4,26976},{-6,4,364},}		
3	78	{{-3,4,27264},{-6,4,368},}		
3	79	{{-3,4,27552},{-6,4,372},}		
3	80	{{-3,4,27840},{-6,4,376},}	{{-3,4,800000},{51,4,6}}	
