序号	品质	最高等级	装备名	装备类别	增加属性类型	初始数值值	每级增加值	强化消耗曲线	道具描述	icon图片ID	背景图片ID	出售价格	空行
41	1	100	藤条	1	1	5	2.5	1	废话一大堆	1	0	5	
42	1	100	铅笔刀	1	1	5	2.3	1	废话一大堆	1	0	5	
43	1	100	木剑	1	1	5	2.6	1	废话一大堆	1	0	4	
44	1	100	HB铅笔	1	1	5	2.5	1	废话一大堆	1	0	4	
45	1	100	白手套	1	1	5	2.3	1	废话一大堆	1	0	4	
2001	5	100	博学长袍	2	2	47	4.9	5	废话一大堆	1	0	505	
2002	5	100	弑神战铠	2	2	37	5	5	废话一大堆	1	0	496	
2003	5	100	绝世外套	2	2	45	4.7	5	废话一大堆	1	0	487	
2004	5	100	荣光长袍	2	2	35	4.8	5	废话一大堆	1	0	478	
2005	5	100	天佑外套	2	2	36	4.4	5	废话一大堆	1	0	469	
2006	4	100	荣耀战铠	2	2	27	3.7	4	废话一大堆	1	0	122	
2007	4	100	逐日护甲	2	2	25	3.7	4	废话一大堆	1	0	115	
2008	4	100	宽恕长袍	2	2	25	3.5	4	废话一大堆	1	0	108	
2009	4	100	学者护甲	2	2	24	3.5	4	废话一大堆	1	0	101	
2010	4	100	无畏护甲	2	2	22	3.3	4	废话一大堆	1	0	94	
2011	3	100	信仰战铠	2	2	16	2.8	3	废话一大堆	1	0	56	
2012	3	100	智者外衣	2	2	14	2.8	3	废话一大堆	1	0	54	
2013	3	100	复仇长袍	2	2	15	2.7	3	废话一大堆	1	0	52	
2014	3	100	灵霜长袍	2	2	13	2.7	3	废话一大堆	1	0	50	
2015	3	100	皓月外套	2	2	13	2.5	3	废话一大堆	1	0	48	
2016	2	100	勇气护甲	2	2	8	2.1	2	废话一大堆	1	0	22	
2017	2	100	孤影外套	2	2	9	2.1	2	废话一大堆	1	0	21	
2018	2	100	轻羽长袍	2	2	9	2	2	废话一大堆	1	0	20	
2019	2	100	虔诚外套	2	2	9	2	2	废话一大堆	1	0	19	
2020	2	100	书生长袍	2	2	8	1.9	2	废话一大堆	1	0	18	
2021	1	100	制服	2	2	3	1.6	1	废话一大堆	1	0	5	
2022	1	100	礼服	2	2	3	1.5	1	废话一大堆	1	0	5	
2023	1	100	运动服	2	2	3	1.4	1	废话一大堆	1	0	5	
4001	5	100	博学之戒	3	3	374	41.8	5	废话一大堆	1	0	505	
4002	5	100	弑神项链	3	3	344	42.1	5	废话一大堆	1	0	496	
4003	5	100	绝世之环	3	3	366	40	5	废话一大堆	1	0	487	
4004	5	100	荣光手镯	3	3	326	40.4	5	废话一大堆	1	0	478	
4005	5	100	天佑护符	3	3	348	37.9	5	废话一大堆	1	0	469	
4006	4	100	荣耀之环	3	3	228	32.2	4	废话一大堆	1	0	122	
4007	4	100	逐日手镯	3	3	218	32.3	4	废话一大堆	1	0	115	
4008	4	100	宽恕护符	3	3	218	30.6	4	废话一大堆	1	0	108	
4009	4	100	学者之戒	3	3	208	30.7	4	废话一大堆	1	0	101	
4010	4	100	无畏项链	3	3	207	29	4	废话一大堆	1	0	94	
4011	3	100	信仰护符	3	3	144	24.3	3	废话一大堆	1	0	56	
4012	3	100	智者之戒	3	3	124	24.5	3	废话一大堆	1	0	54	
4013	3	100	复仇项链	3	3	138	23.1	3	废话一大堆	1	0	52	
4014	3	100	灵霜之环	3	3	118	23.3	3	废话一大堆	1	0	50	
4015	3	100	皓月手镯	3	3	133	21.8	3	废话一大堆	1	0	48	
4016	2	100	勇气项链	3	3	87	18	2	废话一大堆	1	0	22	
4017	2	100	孤影之环	3	3	67	18.2	2	废话一大堆	1	0	21	
4018	2	100	轻羽手镯	3	3	84	17.1	2	废话一大堆	1	0	20	
4019	2	100	虔诚护符	3	3	64	17.3	2	废话一大堆	1	0	19	
4020	2	100	书生之戒	3	3	81	16.2	2	废话一大堆	1	0	18	
4021	1	100	青铜戒指	3	3	26	13.5	1	废话一大堆	1	0	5	
4022	1	100	护身符	3	3	25	12.8	1	废话一大堆	1	0	5	
4023	1	100	玉手镯	3	3	23	12.2	1	废话一大堆	1	0	5	
6001	1	1	攻速道具1	4	4	30	0	1	废话一大堆	1	0	5	
6002	2	1	攻速道具2	4	4	110	0	2	废话一大堆	1	0	20	
6003	3	1	攻速道具3	4	4	210	0	3	废话一大堆	1	0	50	
6004	4	1	攻速道具4	4	4	360	0	4	废话一大堆	1	0	100	
7001	1	1	反击道具1	4	6	100	0	1	废话一大堆	1	0	5	
7002	2	1	反击道具2	4	6	210	0	2	废话一大堆	1	0	20	
7003	3	1	反击道具3	4	6	480	0	3	废话一大堆	1	0	50	
8001	1	1	集气道具1	4	7	0.3	0	1	废话一大堆	1	0	5	
8002	2	1	集气道具2	4	7	0.5	0	2	废话一大堆	1	0	20	
8003	3	1	集气道具3	4	7	1	0	3	废话一大堆	1	0	50	
8004	4	1	集气道具4	4	7	1.5	0	4	废话一大堆	1	0	100	
8005	5	1	集气道具5	4	7	2	0	5	废话一大堆	1	0	500	
9001	1	1	命中道具1	4	5	60	0	1	废话一大堆	1	0	5	
9002	2	1	命中道具2	4	5	130	0	2	废话一大堆	1	0	20	
9003	3	1	命中道具3	4	5	140	0	3	废话一大堆	1	0	50	
9004	4	1	命中道具4	4	5	400	0	4	废话一大堆	1	0	100	
10001	1	1	气伤道具1	4	8	20	0	1	废话一大堆	1	0	5	
10002	2	1	气伤道具2	4	8	55	0	2	废话一大堆	1	0	20	
10003	3	1	气伤道具3	4	8	100	0	3	废话一大堆	1	0	50	
10004	4	1	气伤道具4	4	8	170	0	4	废话一大堆	1	0	100	
10005	5	1	气伤道具5	4	8	280	0	5	废话一大堆	1	0	500	
